"出7天 14天-1M 押AA+  不看中债资信  永续民企需对券","fund"
"[CQ:image,file=2046E563A6CDBC6929E73BA8D5FC0BB0.jpg]这玩意有啥意义…","other"
"还有伏地魔","other"
"西王这么坑？","other"
"[CQ:image,file=450D2BA8114B70819A0F4F609B3C74C9.png]","other"
"走大宗成交得了，一把到位","other"
"刚上市 没几个月就开始折价甩了","other"
"出900万跨月，押利率存单，在账","fund"
"别说我猥琐，你自己心理咋想的？","other"
"借跨月拆借~价格可议~","fund"
"去年大牛市也是利率啊 信用不雷就不错了","other"
"从0.3 下调到0","other"
"出协议回购 7d-1m 限自营 可押非公开
出协议回购1m 1400万，可押非公开，不限户 对券对户","fund"
"现在有的亲子鉴定单位也是，偷懒把报告都不鉴定，直接出结论非亲生","other"
"出 7d 1.23e aaa非永续 对券","fund"
"出7d [CQ:image,file=ABFFE8EBC4D0DFDC1E0B4BF4D43DE5D2.gif]","other"
"出7D整量，押AA+非永续，看一年内中债资信","fund"
"平台资源","other"
"[CQ:image,file=1EEFFE4E18DEC3A97EC3F2C7D95C514B.png]","other"
"交易盘是算票息的么？ 不就是看净价嘛？","other"
"这是想钱想疯了吗，一个这样的旧闻还想收费","other"
"出7天资金，押利率。","fund"
"只要每个月保持20BP我就心满意足了","other"
"出6天，1M以上资金，押利率","fund"
"出隔夜1e,押利率，限银行[CQ:image,file=A2CA8C108ACA4ABDFEF6F12D1921ED71.gif]","fund"
"要问CS了","other"
"求解释","other"
"安徽建设也不发","other"
"而且协议也不是制式的","other"
"出4360W 14d以上 对户对券 国企AA","fund"
"那几家券商资管都是几百亿的jgh规模，怎么没人说的","other"
"从哪看的","other"
"[CQ:face,id=13][CQ:face,id=13][CQ:face,id=13]","other"
"[CQ:image,file=4E3A042B583FED15BC90137D6A7DBDDC.png]","other"
"价格呢","other"
"山茶花","other"
"还有机构签两份协议？","other"
"已经临停了吧","other"
"出 7D  AA+  非永续  看中债资信","fund"
"出隔夜 押利率或国股存单 四点还款","fund"
"没看到人家是男的吗","other"
"可以选瓷砖","other"
"大家觉得何如","other"
"出7000万隔夜上午还款，押利率
出2天3300万，存单利率","fund"
"。。。。","other"
"小窗~","other"
"你有杜总的盛世美颜么？","other"
".出14天以上资金，押利率，限银行农信[CQ:face,id=63]","fund"
"新疆的是有一个批一个","other"
"我也买了点的","other"
"贵州的问题也不是一个地方的问题啊，如果贵州保不住，那好多穷地方都要完，政府会不管吗","other"
"养宠物","other"
"没必要吧 让天弘便宜出大家点钱吧 来的实惠[CQ:face,id=20]","other"
"待会看看公告 到底回售了多少","other"
"那时候好像风险好没怎么暴露，大家总觉得债券是刚兑","other"
"出隔夜 2500w 限券商自营
国企AA+ 非永续 不看中债资信","fund"
"出7D 整量，押AA+非永续，看一年内中债资信","fund"
"出 整量 7D AA+对券对户
公募借整量 7D 押利率","fund"
"深交所公告称，华讯方舟股东拟筹划控制权变更事项，股票7月24日开市起临时停牌","other"
"小鸡炖蘑菇？","other"
"亲，在这个群问收益很低呢，你也不能相信匿名的同学们吧","other"
"【PPN】重庆三峡产业投资有限公司2019年度第一期非公开定向债务融资工具
（1）发行人：重庆三峡产业投资有限公司
（2）实际控制人：重庆市万州区国资委
（3）发行规模：10亿
（4）发行期限：3+2年
（5）评级：AA/AA（中诚信）
（6）发行场所：银行间
（7）发行时间：7月底左右
（8）区间：7-7.5%","first"
"暖流感觉投行一体化","other"
"出7天出14天押aa+ 非永续对券 不看中债资信","fund"
"出 1400W 6D 押上清国企AA+ 非永续 非负面 非PPN 限公募自营户","fund"
"提升一下活跃度","other"
"出7D整量，押AA+非永续，看一年内中债资信","fund"
"然，今天指数也在狂跌","other"
"借隔夜 押利率 整量","fund"
"出7D整量，押AA+非永续，看一年内中债资信","fund"
"证监会发文不让搞返费了 不也很多机构在做","other"
"出7D整量，押AA+非永续，看一年内中债资信","fund"
"玩远期的不都是团员多么，一级找回来就行了","other"
"有什么用？","other"
"出中债隔夜4700W   国企2A+以上 不看中债","fund"
"出13天资金，出一个月以上资金，押利率。","fund"
"出14d 1-3m 押主体AA+对券，中债隐含AA以上，对券，可永续","fund"
"出7天资金，可押AA+国企，优质民企，非永续非负面，不看中债","fund"
"建仓-发文-观众拉涨-套现","other"
"出 7D 11D 14D 21D-3M","fund"
"新发明真多","other"
"报一下","other"
"【通知】19中芯国际SCP003，代码：011901666，票面利率：3.10%，明天缴款，感谢大家支持~

【通知】19浦银租赁债01，1922029，票面3.62%，全场2.3倍，边际1.6倍，感谢支持！","other"
"[CQ:face,id=63]","other"
"出整量  14D  国企AA对券对户","fund"
"出隔夜 4000+1600  押国企对券 填表盖章","fund"
"哈哈哈 还是有高手的","other"
"出两天14天 押AA+永续与民企需对券 不看中债资信","fund"
"出1-7天资金，押利率或AAA国股存单","fund"
"签了字，违约了，最后会坐牢么","other"
"收隔夜","fund"
"但愿东旭没搬太多资产到海外","other"
"哈哈哈哈哈哈哈","other"
"[CQ:image,file=4DAD0295ABB254B57B10CBB5E3BE3948.png]","other"
"出隔夜 国企AA 对券对户","fund"
"出21天以上资金，押利率。","fund"
"哎，贵群真是无知得可怕啊","other"
"出2-7d 国企AA对券对户","fund"
"倒是房地产，差别最大","other"
"地青真惨","other"
"出7天 1400w","fund"
"那还是去韩国跑一趟吧","other"
"出 19如意科技MTN001/19三星SCP001  QQ:2783852353","second"
"资金是松的","other"
"出跨月资金1e，押利率，限银行[CQ:image,file=A4BEE4707A78F2C6FD313419406CF1C3.gif]","fund"
"出 整量 14D AA+对券 限户
出 整量 14D AA+对券 限户","fund"
"收隔夜，押利率","fund"
"出  在帐  7d  整量  aaa信用，aa+存单","fund"
"金钱草是哪位大佬？","other"
"雷区特别逗，都是老司机。。","other"
"这么低","other"
"不说就不买被，为啥非得够着买他","other"
"西藏有两期城投","other"
"杜总今天还来么","other"
"大夏天的支持我出门的只有大白腿了","other"
"出7天 押上清AA+ 看中债资信","fund"
"出14天及以上资金1e，押利率，限银行[CQ:image,file=A4BEE4707A78F2C6FD313419406CF1C3.gif]","fund"
"我们公司可牛逼了","other"
"估计人均得有四五百税前","other"
"同问","other"
"是好是坏","other"
"扶贫还要不要搞了","other"
"公募借  7d  整量","fund"
"尤其3、5年经典","other"
"不可行 你买不了","other"
